"graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
-1 1 0.2 0.7213475204444817 9
-1 1 0.16666666666666666 0.7213475204444817 12
-1 2 0.4 1.631586747071319 12
-2 1 0.25 0.7213475204444817 6
-2 3 0.75 2.352934267515801 12
-1 2 0.4 1.631586747071319 12
-1 1 0.16666666666666666 0.7213475204444817 12
-2 1 0.25 0.7213475204444817 6
-2 3 0.75 2.352934267515801 12
-1 2 0.3333333333333333 1.631586747071319 16
-1 2 0.3333333333333333 1.631586747071319 16
-2 2 0.5 1.4426950408889634 8
-1 2 0.3333333333333333 2.164042561333445 16
-1 1 0.2 0.7213475204444817 8
-1 1 0.2 0.7213475204444817 8
