source target "graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
233 227 -1 0 0.0 0.0 2
233 5 -3 0 0.0 0.0 2
233 17 -3 0 0.0 0.0 5
233 25 -4 0 0.0 0.0 9
233 26 -3 0 0.0 0.0 7
233 27 -3 0 0.0 0.0 2
233 30 -4 0 0.0 0.0 6
233 32 -5 0 0.0 0.0 2
233 34 -5 0 0.0 0.0 3
233 35 -3 0 0.0 0.0 5
233 36 -4 0 0.0 0.0 3
233 39 -4 0 0.0 0.0 3
233 40 -3 0 0.0 0.0 8
233 45 -5 0 0.0 0.0 4
233 46 -4 0 0.0 0.0 4
233 48 -5 0 0.0 0.0 2
233 50 -4 0 0.0 0.0 2
233 51 -4 0 0.0 0.0 4
233 55 -4 0 0.0 0.0 1
233 58 -3 0 0.0 0.0 11
233 67 -4 0 0.0 0.0 2
233 71 -4 0 0.0 0.0 4
233 72 -4 0 0.0 0.0 8
233 77 -4 0 0.0 0.0 1
233 79 -4 0 0.0 0.0 4
233 83 -3 0 0.0 0.0 7
233 85 -4 0 0.0 0.0 1
233 86 -4 0 0.0 0.0 2
233 87 -3 0 0.0 0.0 5
233 91 -2 1 0.034482758620689655 1.4426950408889634 29
233 92 -4 0 0.0 0.0 12
233 101 -4 0 0.0 0.0 3
233 106 -4 0 0.0 0.0 6
233 116 -3 0 0.0 0.0 18
233 117 -4 0 0.0 0.0 14
233 120 -3 0 0.0 0.0 4
233 121 -3 0 0.0 0.0 3
233 122 -4 0 0.0 0.0 7
233 131 -4 0 0.0 0.0 3
233 136 -3 0 0.0 0.0 10
233 137 -4 0 0.0 0.0 6
233 143 -5 0 0.0 0.0 2
233 149 -4 0 0.0 0.0 5
233 153 -4 0 0.0 0.0 2
233 157 -4 0 0.0 0.0 3
233 188 -4 0 0.0 0.0 8
233 192 -4 0 0.0 0.0 6
233 194 -4 0 0.0 0.0 5
233 198 -3 0 0.0 0.0 3
233 199 -3 0 0.0 0.0 4
233 200 -3 0 0.0 0.0 7
233 1384652 -3 0 0.0 0.0 7
233 204 -4 0 0.0 0.0 4
233 206 -3 0 0.0 0.0 3
233 216 -4 0 0.0 0.0 3
233 219 -5 0 0.0 0.0 3
233 224 -6 0 0.0 0.0 1
233 225 -4 0 0.0 0.0 3
233 230 -4 0 0.0 0.0 10
233 328 -5 0 0.0 0.0 4
233 266 -3 0 0.0 0.0 2
